number_of_hidden_layers,preprocessing,neurons,training_iterations,dbn_accuracy,dbn_training_time,cnn_accuracy,cnn_training_time,pnn_accuracy,pnn_training_time
1,normalization,20,400,0.6551724137931034,3.098699426651001,0.5172413793103449,0.9432644367218017,0.6206896551724138,0.033733367919921875
1,normalization,20,500,0.6551724137931034,3.882791757583618,0.5862068965517241,1.2952598094940186,0.5862068965517241,0.01576242446899414
1,normalization,20,600,0.6551724137931034,4.6252068996429445,0.5862068965517241,1.6830954074859619,0.6206896551724138,0.023253440856933594
1,normalization,20,700,0.6206896551724138,5.371987295150757,0.5517241379310345,2.1459839820861815,0.6551724137931034,0.030878496170043946
1,normalization,20,800,0.6551724137931034,6.173037528991699,0.6206896551724138,2.574651575088501,0.6551724137931034,0.030112552642822265
2,normalization,20,400,0.5862068965517241,4.285213279724121,0.4827586206896552,2.435685873031616,0.5862068965517241,0.053001928329467776
2,normalization,20,500,0.6206896551724138,5.340940999984741,0.5862068965517241,3.0025229454040527,0.6551724137931034,0.05704336166381836
2,normalization,20,600,0.5862068965517241,6.401146745681762,0.4827586206896552,3.5690548419952393,0.6551724137931034,0.029182958602905273
2,normalization,20,700,0.6551724137931034,7.50352635383606,0.4827586206896552,4.105676937103271,0.8620689655172413,0.07172737121582032
2,normalization,20,800,0.5517241379310345,8.526171541213989,0.5172413793103449,4.7682532787323,0.8275862068965517,0.14639344215393066
1,normalization,30,400,0.5862068965517241,3.0868383407592774,0.5862068965517241,4.327181100845337,0.5862068965517241,0.016644906997680665
1,normalization,30,500,0.5517241379310345,3.8482501983642576,0.4827586206896552,4.9239426612854,0.5862068965517241,0.05365595817565918
1,normalization,30,600,0.6551724137931034,4.6277759075164795,0.6206896551724138,5.54522385597229,0.6206896551724138,0.08305459022521973
1,normalization,30,700,0.6551724137931034,5.397767210006714,0.5517241379310345,6.121197605133057,0.6206896551724138,0.0208132266998291
1,normalization,30,800,0.6206896551724138,6.200066089630127,0.6206896551724138,6.739540863037109,0.6551724137931034,0.10797462463378907
2,normalization,30,400,0.5862068965517241,4.348213815689087,0.5172413793103449,6.459810209274292,0.7586206896551724,0.1437716007232666
2,normalization,30,500,0.6551724137931034,5.439320611953735,0.6206896551724138,7.280816316604614,0.7586206896551724,0.2192934513092041
2,normalization,30,600,0.6206896551724138,6.452647638320923,0.4827586206896552,8.016834449768066,0.8620689655172413,0.2138723373413086
2,normalization,30,700,0.6896551724137931,7.50221529006958,0.5172413793103449,8.807967519760131,0.7241379310344828,0.3081511974334717
2,normalization,30,800,0.5517241379310345,8.737851285934449,0.6896551724137931,10.373347997665405,0.7931034482758621,0.35971918106079104
1,normalization,40,400,0.5862068965517241,3.191962385177612,0.5172413793103449,9.26113977432251,0.6206896551724138,0.06472525596618653
1,normalization,40,500,0.6206896551724138,3.9276902198791506,0.3793103448275862,9.886959838867188,0.7931034482758621,0.0725555419921875
1,normalization,40,600,0.6551724137931034,4.736191272735596,0.4482758620689655,10.625653743743896,0.6551724137931034,0.01648883819580078
1,normalization,40,700,0.6551724137931034,5.509826278686523,0.5517241379310345,11.590098571777343,0.6896551724137931,0.06196703910827637
1,normalization,40,800,0.6896551724137931,6.279356241226196,0.5862068965517241,12.434804916381836,0.7586206896551724,0.06808204650878906
2,normalization,40,400,0.6896551724137931,4.4936769008636475,0.4482758620689655,12.131245613098145,0.8275862068965517,0.15656790733337403
2,normalization,40,500,0.6896551724137931,5.5553093433380125,0.5172413793103449,12.755954122543335,0.7586206896551724,0.22642722129821777
2,normalization,40,600,0.6206896551724138,6.579185438156128,0.5172413793103449,13.55703444480896,0.7241379310344828,0.28116426467895506
2,normalization,40,700,0.6896551724137931,7.710431861877441,0.5172413793103449,14.476660919189452,0.8275862068965517,0.32981133460998535
2,normalization,40,800,0.6551724137931034,8.78962483406067,0.5517241379310345,15.497646284103393,0.7241379310344828,0.23031182289123536
1,standardization,20,400,0.7586206896551724,3.05184006690979,0.5172413793103449,14.604050445556641,0.7586206896551724,0.12999820709228516
1,standardization,20,500,0.8620689655172413,3.810635471343994,0.5517241379310345,16.177709531784057,0.896551724137931,0.15695900917053224
1,standardization,20,600,0.7931034482758621,4.5897351741790775,0.5862068965517241,16.5715548992157,0.8275862068965517,0.1865227222442627
1,standardization,20,700,0.7931034482758621,5.311384057998657,0.6206896551724138,17.713209676742554,0.9310344827586207,0.21665782928466798
1,standardization,20,800,0.8275862068965517,6.096519994735718,0.4827586206896552,18.857688903808594,0.7241379310344828,0.2503408908843994
2,standardization,20,400,0.7931034482758621,4.252519655227661,0.5517241379310345,18.00021162033081,0.8275862068965517,0.17038726806640625
2,standardization,20,500,0.6896551724137931,5.313789701461792,0.5172413793103449,18.79281849861145,0.7931034482758621,0.21149239540100098
2,standardization,20,600,0.7241379310344828,6.387059831619263,0.4827586206896552,20.223638105392457,0.8275862068965517,0.25394268035888673
2,standardization,20,700,0.7586206896551724,7.496541929244995,0.5517241379310345,21.941695785522462,0.7931034482758621,0.2797062873840332
2,standardization,20,800,0.8275862068965517,8.618430233001709,0.5517241379310345,23.47337508201599,0.7586206896551724,0.2643153667449951
1,standardization,30,400,0.8275862068965517,3.0806323528289794,0.5862068965517241,22.06967887878418,0.7931034482758621,0.1337498188018799
1,standardization,30,500,0.7586206896551724,3.917122745513916,0.4482758620689655,22.893868064880373,0.8620689655172413,0.16698069572448732
1,standardization,30,600,0.8275862068965517,4.636425733566284,0.5862068965517241,24.445912313461303,0.7586206896551724,0.19562430381774903
1,standardization,30,700,0.7586206896551724,5.4448529243469235,0.5517241379310345,25.744575262069702,0.7931034482758621,0.2320270538330078
1,standardization,30,800,0.8275862068965517,6.287082242965698,0.5517241379310345,27.250082063674927,0.8275862068965517,0.25939183235168456
2,standardization,30,400,0.6551724137931034,4.4172505855560305,0.5517241379310345,25.30863699913025,0.7931034482758621,0.1861386775970459
2,standardization,30,500,0.6551724137931034,5.458900737762451,0.5172413793103449,26.81659564971924,0.7931034482758621,0.21533641815185547
2,standardization,30,600,0.7931034482758621,6.673318004608154,0.4827586206896552,28.455587100982665,0.8275862068965517,0.253172779083252
2,standardization,30,700,0.8620689655172413,7.722022342681885,0.6206896551724138,31.171180391311644,0.7241379310344828,0.2615687847137451
2,standardization,30,800,0.7586206896551724,8.900403833389282,0.5862068965517241,31.785959577560426,0.7931034482758621,0.24963889122009278
1,standardization,40,400,0.7586206896551724,3.1186553955078127,0.6206896551724138,29.070955657958983,0.896551724137931,0.13871245384216307
1,standardization,40,500,0.8275862068965517,3.8989536285400392,0.5517241379310345,31.063770866394044,0.7586206896551724,0.17275528907775878
1,standardization,40,600,0.7586206896551724,4.747410583496094,0.5172413793103449,32.22148051261902,0.7931034482758621,0.20479683876037597
1,standardization,40,700,0.7931034482758621,5.512197017669678,0.5172413793103449,33.7259822845459,0.7931034482758621,0.23698110580444337
1,standardization,40,800,0.8275862068965517,6.283895969390869,0.5172413793103449,36.287289190292356,0.8275862068965517,0.27141742706298827
2,standardization,40,400,0.6551724137931034,4.465273857116699,0.5517241379310345,33.11148638725281,0.7586206896551724,0.20101170539855956
2,standardization,40,500,0.7241379310344828,5.575975799560547,0.5517241379310345,34.82391438484192,0.896551724137931,0.23544602394104003
2,standardization,40,600,0.7931034482758621,6.5928374290466305,0.6551724137931034,35.648025608062746,0.7586206896551724,0.21998023986816406
2,standardization,40,700,0.7241379310344828,7.676647567749024,0.41379310344827586,37.39629979133606,0.7931034482758621,0.23449087142944336
2,standardization,40,800,0.7931034482758621,8.80226798057556,0.5862068965517241,40.53883194923401,0.8275862068965517,0.2315392017364502
1,normalization,10,400,0.6206896551724138,3.040282154083252,0.4827586206896552,0.9354670524597168,0.6551724137931034,0.04207215309143066
1,normalization,10,500,0.5862068965517241,3.831014060974121,0.5172413793103449,1.2787903785705566,0.6551724137931034,0.030998849868774415
1,normalization,10,600,0.5862068965517241,4.583913707733155,0.6551724137931034,1.690998411178589,0.5517241379310345,0.037598609924316406
1,normalization,10,700,0.6206896551724138,5.313153791427612,0.5172413793103449,2.215554046630859,0.6551724137931034,0.030694866180419923
1,normalization,10,800,0.6206896551724138,6.103600978851318,0.5862068965517241,2.6162235736846924,0.6206896551724138,0.03480472564697266
2,normalization,10,400,0.6206896551724138,4.174486684799194,0.5172413793103449,2.4851328849792482,0.6206896551724138,0.0242218017578125
2,normalization,10,500,0.6206896551724138,5.204899072647095,0.5172413793103449,3.030128002166748,0.5862068965517241,0.037607765197753905
2,normalization,10,600,0.6551724137931034,6.190052652359009,0.4827586206896552,3.545631742477417,0.7241379310344828,0.019761943817138673
2,normalization,10,700,0.6896551724137931,7.159296989440918,0.6551724137931034,4.113863229751587,0.5517241379310345,0.03819527626037598
2,normalization,10,800,0.6551724137931034,8.357034254074097,0.6206896551724138,4.9242888450622555,0.5517241379310345,0.03280673027038574
1,standardization,10,400,0.7931034482758621,3.030626678466797,0.4827586206896552,4.3791923999786375,0.8275862068965517,0.12470741271972656
1,standardization,10,500,0.8275862068965517,3.7790268898010253,0.5517241379310345,5.06205997467041,0.7931034482758621,0.1480133056640625
1,standardization,10,600,0.8620689655172413,4.623690605163574,0.5517241379310345,5.755444717407227,0.7586206896551724,0.17737383842468263
1,standardization,10,700,0.8275862068965517,5.356316328048706,0.5862068965517241,6.311369466781616,0.7931034482758621,0.2059772491455078
1,standardization,10,800,0.8275862068965517,6.120037364959717,0.5862068965517241,6.803564596176147,0.8275862068965517,0.23485054969787597
2,standardization,10,400,0.7241379310344828,4.18834171295166,0.5172413793103449,6.782086658477783,0.8275862068965517,0.15318546295166016
2,standardization,10,500,0.7241379310344828,5.196199989318847,0.5862068965517241,7.32378306388855,0.7931034482758621,0.1894923210144043
2,standardization,10,600,0.6551724137931034,6.196011972427368,0.4482758620689655,7.961363315582275,0.8275862068965517,0.22480597496032714
2,standardization,10,700,0.7586206896551724,7.272565460205078,0.5172413793103449,8.746042060852051,0.8620689655172413,0.26177315711975097
2,standardization,10,800,0.7241379310344828,8.308878755569458,0.5172413793103449,9.778233432769776,0.7586206896551724,0.29857335090637205
